Full Address;Longitude;Latitude;Zip;REC_TYPE;PIN;OVACLS;CLASS_DESCRIPTION;CURRENT_LAND;CURRENT_BUILDING;CURRENT_TOTAL;ESTIMATED_MARKET_VALUE;PRIOR_LAND;PRIOR_BUILDING;PRIOR_TOTAL;PPRIOR_LAND;PPRIOR_BUILDING;PPRIOR_TOTAL;PPRIOR_YEAR;TOWN;VOLUME;LOC;TAX_CODE;NEIGHBORHOOD;HOUSENO;DIR;STREET;SUFFIX;APT;CITY;RES_TYPE;BLDG_USE;APT_DESC;COMM_UNITS;EXT_DESC;FULL_BATH;HALF_BATH;BSMT_DESC;ATTIC_DESC;AC;FIREPLACE;GAR_DESC;AGE;BUILDING_SQ_FT;LAND_SQ_FT;BLDG_SF;UNITS_TOT;MULTI_SALE;DEED_TYPE;SALE_DATE;SALE_AMOUNT;APPCNT;APPEAL_A;APPEAL_A_STATUS;APPEAL_A_RESULT;APPEAL_A_REASON;APPEAL_A_PIN_RESULT;APPEAL_A_PROPAV;APPEAL_A_CURRAV;APPEAL_A_RESLTDATE;
210 N JUSTINE ST, CHICAGO, IL;-87,6656354999999;41,8857718;60607;A-HD;17083150310000;211;Two to Six Apartments, Over 62 Years                                                         ;15.000;44.582;59.582;595.820;12.500;44.601;57.101;12.500;44.601;57.101;2013;77;590;CITY;77020;131;210;N;JUSTINE ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Partial and Unfinished;None;2;0; ;127;3007;5000;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1529 W TAYLOR ST, CHICAGO, IL;-87,6654183999999;41,8690533999999;60607;A-HD;17173240300000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;38.115;92.160;130.275;1.302.750;31.762;90.141;121.903;31.762;90.141;121.903;2013;77;592;CITY;77002;132;1529;W;TAYLOR ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;1;Frame/Masonry ;3;0;Slab and Unfinished;None;1;0;2 1/2 Cars Attched;16;14243;12705;     ;        ;0;0;     ;0;1;114666;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;137442;130275;10/19/15;
1523 W TAYLOR ST, CHICAGO, IL;-87,6650774;41,8690757;60607;A-HD;17173240160000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.560;38.241;45.801;458.010;6.300;35.470;41.770;6.300;35.470;41.770;2013;77;592;CITY;77002;132;1523;W;TAYLOR ;ST; ;CHICAGO;Two Story        ;Multi Family  ;3;1;Masonry    ;3;0;Partial and Unfinished; ;2;0; ;129;2100;2520;     ;        ;0;0;     ;0;1;103180;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;53780;50458;12/4/15;
1521 W TAYLOR ST, CHICAGO, IL;-87,6649857;41,8690738;60607;A-HD;17173240170000;211;Two to Six Apartments, Over 62 Years                                                         ;7.875;34.571;42.446;424.460;6.562;34.843;41.405;6.562;34.843;41.405;2013;77;592;CITY;77002;132;1521;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;1;0; ;132;3396;2625;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1519 W TAYLOR ST, CHICAGO, IL;-87,6648952;41,8690754;60607;A-HD;17173240180000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.875;55.476;63.351;633.510;6.562;48.657;55.219;6.562;48.657;55.219;2013;77;592;CITY;77002;132;1519;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;1;Masonry    ;2;0;Partial and Unfinished; ;1;0;2 Cars Detached;129;3627;2625;     ;        ;0;1;4/26/95;210000;0;0;                  ;;0;;0;0;     ;
1516 W TAYLOR ST, CHICAGO, IL;-87,6648825;41,8694948999999;60607;A-HD;17173160420000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.632;78.936;86.568;865.680;6.360;28.797;35.157;6.360;28.797;35.157;2013;77;592;CITY;77002;132;1516;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;4;1;Masonry    ;4;1;Full and Apartment;None;2;0; ;122;4971;2544;     ;        ;0;1;1/1/14;865000;1;100049;Appeal Review Complete       ;Assessed Value Not Adjusted;27;Assessed Value Not Adjusted;86568;86568;10/19/15;
1513 W HARRISON ST, CHICAGO, IL;-87,664821;41,873856;60607;A-HD;17171230450000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;6.001;61.569;67.570;675.700;6.001;61.569;67.570;6.001;61.569;67.570;2013;77;591;CITY;77002;132;1513;W;HARRISON ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;37;0;76576;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1517 W TAYLOR ST, CHICAGO, IL;-87,6648002;41,8690781999999;60607;A-HD;17173240190000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.875;52.421;60.296;602.960;6.562;44.872;51.434;6.562;44.872;51.434;2013;77;592;CITY;77002;132;1517;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;1;Masonry    ;2;1;Partial and Unfinished; ;2;0; ;129;4152;2625;     ;        ;0;2;10/1/04;460000;0;0;                  ;;0;;0;0;     ;
1514 W TAYLOR ST, CHICAGO, IL;-87,6647942;41,8694922;60607;A-HD;17173160430000;211;Two to Six Apartments, Over 62 Years                                                         ;7.632;36.787;44.419;444.190;6.360;33.537;39.897;6.360;33.537;39.897;2013;77;592;CITY;77002;132;1514;W;TAYLOR ;ST;1;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;2;0; ;122;3075;2544;     ;        ;0;2;6/1/01;430000;0;0;                  ;;0;;0;0;     ;
1512 W POLK ST, CHICAGO, IL;-87,6647903;41,8718445;60607;A-HD;17173010320000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;41.414;50.789;507.890;7.812;39.334;47.146;7.812;39.334;47.146;2013;77;592;CITY;77002;132;1512;W;POLK ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;2;Full and Unfinished;None;1;2;2 Cars Detached;19;2292;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1512 W TAYLOR ST, CHICAGO, IL;-87,6647068999999;41,8694913;60607;A-HD;17173160440000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.632;48.096;55.728;557.280;6.360;41.622;47.982;6.360;41.622;47.982;2013;77;592;CITY;77002;132;1512;W;TAYLOR ;ST; ;CHICAGO;Two Story        ;Multi Family  ;3;1;Masonry    ;3;0;Partial and Unfinished; ;1;0;2 Cars Detached;129;2080;2544;     ;        ;0;2;3/1/01;415000;0;0;                  ;;0;;0;0;     ;
1513 W TAYLOR ST, CHICAGO, IL;-87,6647032;41,8690805999999;60607;A-HD;17173240200000;211;Two to Six Apartments, Over 62 Years                                                         ;7.875;46.808;54.683;546.830;6.562;40.597;47.159;6.562;40.597;47.159;2013;77;592;CITY;77002;132;1513;W;TAYLOR ;ST; ;CHICAGO;Two Story        ;Multi Family  ;4;0;Masonry    ;4;0;Full and Unfinished;None;1;0; ;22;3160;2625;     ;        ;0;2;8/27/94;383000;0;0;                  ;;0;;0;0;     ;
1511 W TAYLOR ST, CHICAGO, IL;-87,6646183;41,8690945999999;60607;A-HD;17173240210000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.875;52.758;60.633;606.330;6.562;46.024;52.586;6.562;46.024;52.586;2013;77;592;CITY;77002;132;1511;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;1;Masonry    ;3;0;Partial and Unfinished; ;2;0; ;129;4500;2625;     ;        ;0;0;     ;0;1;106735;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;62619;60633;12/4/15;
1509 W TAYLOR ST, CHICAGO, IL;-87,6645271999999;41,8690722999999;60607;A-HD;17173240220000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.875;61.058;68.933;689.330;6.562;48.837;55.399;6.562;48.837;55.399;2013;77;592;CITY;77002;132;1509;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;5;1;Masonry    ;5;1;Partial and Unfinished; ;2;0; ;112;5208;2625;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
716 S LAFLIN ST, CHICAGO, IL;-87,6645209999999;41,8723198;60607;A-HD;17173010260000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;8.925;43.059;51.984;519.840;8.925;43.059;51.984;8.925;43.059;51.984;2013;77;592;CITY;77002;132;716;S;LAFLIN ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;117;0;3500;0;0;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1506 W POLK ST, CHICAGO, IL;-87,6645206;41,8719059;60607;A-HD;17173010350000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;45.908;55.283;552.830;7.812;41.237;49.049;7.812;41.237;49.049;2013;77;592;CITY;77002;132;1506;W;POLK ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;0;Masonry    ;6;0;Full and Apartment;None;2;0; ;117;6198;3125;     ;        ;0;2;5/1/05;917500;1;99155;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;57225;55283;10/19/15;
720 S LAFLIN ST, CHICAGO, IL;-87,6645124;41,8722341;60607;A-HD;17173010270000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;8.925;43.059;51.984;519.840;8.925;43.059;51.984;8.925;43.059;51.984;2013;77;592;CITY;77002;132;720;S;LAFLIN ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;117;0;3500;0;0;0;2;1/1/99;550000;1;91484;Appeal Review Complete       ;Assessed Value Not Adjusted;18;Assessed Value Not Adjusted;51984;51984;10/19/15;
704 S LAFLIN ST, CHICAGO, IL;-87,6644799999999;41,8726419999999;60607;A-HD;17173010220000;211;Two to Six Apartments, Over 62 Years                                                         ;7.500;48.110;55.610;556.100;6.250;37.478;43.728;6.250;37.478;43.728;2013;77;592;CITY;77002;132;704;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;0;Masonry    ;6;0;Full and Unfinished;None;2;0; ;127;5286;2500;     ;        ;1;0;12/1/15;2300000;0;0;                  ;;0;;0;0;     ;
700 S LAFLIN ST, CHICAGO, IL;-87,6644756999999;41,872697;60607;A-HD;17173010210000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;12.750;32.598;45.348;453.480;12.750;30.072;42.822;12.750;30.072;42.822;2013;77;592;CITY;77002;132;700;S;LAFLIN ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;107;0;5000;0;0;0;0;     ;0;1;97511;Appeal Review Complete       ;Assessed Value Adjusted;11;Assessed Value Adjusted;63079;45348;10/19/15;
708 S LAFLIN ST, CHICAGO, IL;-87,6644596;41,8724899999999;60607;A-HD;17173010240000;211;Two to Six Apartments, Over 62 Years                                                         ;7.500;48.348;55.848;558.480;6.250;38.364;44.614;6.250;38.364;44.614;2013;77;592;CITY;77002;132;708;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;0;Masonry    ;6;0;Full and Unfinished;None;2;0; ;127;5544;2500;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1507 W TAYLOR ST, CHICAGO, IL;-87,6644325999999;41,8690798;60607;A-HD;17173240230000;211;Two to Six Apartments, Over 62 Years                                                         ;7.875;34.792;42.667;426.670;6.562;27.329;33.891;6.562;29.948;36.510;2013;77;592;CITY;77002;132;1507;W;TAYLOR ;ST;C ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;2;0;2 Cars Detached;127;3273;2625;     ;        ;0;0;     ;0;1;91101;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;47905;47905;10/19/15;
1502 W POLK ST, CHICAGO, IL;-87,6644177999999;41,8719133999999;60607;A-HD;17173010360000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;45.841;55.216;552.160;7.812;41.237;49.049;7.812;41.237;49.049;2013;77;592;CITY;77002;132;1502;W;POLK ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;0;Masonry    ;6;0;Full and Unfinished;None;2;0; ;117;6189;3125;     ;        ;0;1;6/1/06;1000000;1;109958;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;57221;55216;10/19/15;
1503 W TAYLOR ST, CHICAGO, IL;-87,6643425;41,8690970999999;60607;A-HD;17173240240000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.875;53.461;61.336;613.360;6.562;43.320;49.882;6.562;43.320;49.882;2013;77;592;CITY;77002;132;1503;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;5;1;Masonry    ;5;1;Partial and Unfinished; ;2;0; ;134;4560;2625;     ;        ;0;0;     ;0;1;106736;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;67375;61336;12/4/15;
1500 W POLK ST, CHICAGO, IL;-87,6643289;41,8719092999999;60607;A-HD;17173010370000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;7.968;55.033;63.001;630.010;7.968;55.033;63.001;7.968;55.033;63.001;2013;77;592;CITY;77002;132;1500;W;POLK ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;122;0;3125;0;0;0;1;8/1/02;800000;1;91485;Appeal Review Complete       ;Assessed Value Not Adjusted;18;Assessed Value Not Adjusted;63001;63001;10/19/15;
1500 W TAYLOR ST, CHICAGO, IL;-87,6642436;41,8695487;60607;A-HD;17173160480000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;15.582;61.491;77.073;770.730;12.985;47.966;60.951;12.985;47.966;60.951;2013;77;592;CITY;77002;132;1500;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;4;1;Frame/Masonry ;8;0;Partial and Unfinished;None;1;0; ;122;14169;5194;     ;        ;0;0;     ;0;1;107328;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;77073;77073;10/19/15;
1501 W TAYLOR ST, CHICAGO, IL;-87,6642418999999;41,8690611999999;60607;A-HD;17173240250000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;7.938;45.205;53.143;531.430;6.615;40.053;46.668;6.615;40.053;46.668;2013;77;592;CITY;77002;132;1501;W;TAYLOR ;ST;2;CHICAGO;Two Story        ;Multi Family  ;2;1;Masonry    ;2;0;Partial and Unfinished;None;1;0;1 1/2 Car Attached;137;1987;2646;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
701 S LAFLIN ST, CHICAGO, IL;-87,6639729999999;41,8726416;60607;A-HD;17173030260000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;16.085;57.384;73.469;734.690;16.085;57.135;73.220;16.085;57.135;73.220;2013;77;592;CITY;77002;132;701;S;LAFLIN ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;112;0;6308;0;0;0;0;     ;0;1;86502;Appeal Review Complete       ;Assessed Value Adjusted;11;Assessed Value Adjusted;87551;73469;10/19/15;
725 S LAFLIN ST, CHICAGO, IL;-87,6639715;41,8722495;60607;A-HD;17173040010000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;12.943;62.092;75.035;750.350;12.943;62.092;75.035;12.943;62.092;75.035;2013;77;592;CITY;77002;132;725;S;LAFLIN ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;116;0;5076;0;0;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1454 W POLK ST, CHICAGO, IL;-87,6639605;41,8719049999999;60607;A-HD;17173040230000;315;Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance                         ;12.987;60.737;73.724;737.240;12.987;60.737;73.724;12.987;60.737;73.724;2013;77;592;CITY;77002;132;1454;W;POLK ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;115;0;5093;0;0;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
637 S LAFLIN ST, CHICAGO, IL;-87,6639305;41,873117;60607;A-HD;17173030460000;314;Two or three story non-frprf. crt. and corridor apts or california type apts, no corridors, ex. entrance                       ;15.682;87.454;103.136;1.031.360;15.682;72.540;88.222;15.682;72.540;88.222;2013;77;592;CITY;77002;132;637;S;LAFLIN ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;44;0;6150;12216;16;0;0;     ;0;1;104113;Appeal Review Complete       ;Assessed Value Adjusted;11;Assessed Value Adjusted;113493;103136;12/4/15;
1458 W TAYLOR ST, CHICAGO, IL;-87,663926;41,8694947999999;60607;A-HD;17173170650000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;6.057;38.176;44.233;442.330;3.432;41.068;44.500;3.432;51.074;54.506;2013;77;592;CITY;77002;132;1458;W;TAYLOR ;ST; ;CHICAGO;             ;Multi Family  ;0;0;        ;0;0; ; ;0;0; ;140;0;2019;     ;        ;0;0;     ;0;1;91502;Appeal Review Complete       ;Assessed Value Adjusted;3;Assessed Value Adjusted;54506;44233;10/19/15;
1459 W TAYLOR ST, CHICAGO, IL;-87,6639011;41,8691054;60607;A-HD;17173250010000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;11.235;65.266;76.501;765.010;9.362;47.791;57.153;9.362;47.791;57.153;2013;77;592;CITY;77002;132;1459;W;TAYLOR ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;1;Masonry    ;6;2;Partial and Unfinished; ;2;0; ;136;7191;3745;     ;        ;0;1;10/1/11;1206183;1;6084754;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;76501;76501;10/19/15;
929 S LAFLIN ST, CHICAGO, IL;-87,663886;41,8697116;60607;A-HD;17173170630000;211;Two to Six Apartments, Over 62 Years                                                         ;7.407;69.578;76.985;769.850;6.172;79.878;86.050;6.172;79.878;86.050;2013;77;592;CITY;77002;132;929;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;2;0;Masonry    ;3;0;Full and Unfinished;None;2;0; ;147;2772;2469;     ;        ;0;2;4/1/14;800000;0;0;                  ;;0;;0;0;     ;
825 S LAFLIN ST, CHICAGO, IL;-87,6638559;41,8709124;60607;A-HD;17173170610000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;39.252;48.627;486.270;7.812;31.248;39.060;7.812;33.290;41.102;2013;77;592;CITY;77002;132;825;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;1;Masonry    ;3;0;Full and Unfinished;None;2;0; ;145;3783;3125;     ;        ;0;0;     ;0;1;88966;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;48627;48627;10/19/15;
829 S LAFLIN ST, CHICAGO, IL;-87,6638535999999;41,8707727;60607;A-HD;17173170090000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;33.534;42.909;429.090;7.812;32.371;40.183;7.812;32.371;40.183;2013;77;592;CITY;77002;132;829;S;LAFLIN ;ST;1;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Full and Unfinished;None;2;0; ;147;2464;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
827 S LAFLIN ST, CHICAGO, IL;-87,6638527;41,8708415999999;60607;A-HD;17173170620000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;36.379;45.754;457.540;7.812;32.947;40.759;7.812;32.947;40.759;2013;77;592;CITY;77002;132;827;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Partial and Unfinished;None;1;0; ;145;3432;3125;     ;        ;0;1;10/1/02;644000;1;6086556;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;49158;47504;10/19/15;
821 S LAFLIN ST, CHICAGO, IL;-87,6638518999999;41,8709847;60607;A-HD;17173170070000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;30.658;40.033;400.330;7.812;32.086;39.898;7.812;32.086;39.898;2013;77;592;CITY;77002;132;821;S;LAFLIN ;ST;HSE ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Full and Unfinished;None;2;0; ;147;2384;3125;     ;        ;0;2;3/1/95;75000;1;6102437;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;42578;42578;10/19/15;
819 S LAFLIN ST, CHICAGO, IL;-87,6638506;41,8710445;60607;A-HD;17173170060000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;31.091;40.466;404.660;7.812;31.684;39.496;7.812;32.617;40.429;2013;77;592;CITY;77002;132;819;S;LAFLIN ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Full and Unfinished;None;2;0; ;147;2536;3125;     ;        ;0;0;     ;0;1;96714;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;43196;43196;10/19/15;
919 S LAFLIN ST, CHICAGO, IL;-87,6638446;41,8699562999999;60607;A-HD;17173170210000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;39.627;49.002;490.020;7.812;36.716;44.528;7.812;36.716;44.528;2013;77;592;CITY;77002;132;919;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Full and Unfinished;None;2;0; ;149;3996;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
925 S LAFLIN ST, CHICAGO, IL;-87,6638442999999;41,8698501;60607;A-HD;17173170220000;211;Two to Six Apartments, Over 62 Years                                                         ;18.750;42.289;61.039;610.390;15.625;52.253;67.878;15.625;52.253;67.878;2013;77;592;CITY;77002;132;925;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;0;Masonry    ;6;0;Full and Formal Rec. Room;None;2;0; ;73;9750;6250;     ;        ;0;1;12/1/97;625000;0;0;                  ;;0;;0;0;     ;
1454 W FILLMORE ST, CHICAGO, IL;-87,6638418;41,8688549;60607;A-HD;17173250370000;211;Two to Six Apartments, Over 62 Years                                                         ;28.890;62.511;91.401;914.010;24.075;50.178;74.253;24.075;50.178;74.253;2013;77;592;CITY;77002;132;1454;W;FILLMORE ;ST; ;CHICAGO;Two Story        ;Multi Family  ;6;0;Masonry    ;6;0;Full and Unfinished;None;2;0; ;138;6696;9630;     ;        ;0;0;     ;0;1;97998;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;91401;91401;10/19/15;
831 S LAFLIN ST, CHICAGO, IL;-87,6638406;41,8707093;60607;A-HD;17173170100000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;37.665;47.040;470.400;7.812;36.838;44.650;7.812;36.838;44.650;2013;77;592;CITY;77002;132;831;S;LAFLIN ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;3;0;Full and Apartment;None;1;0;2 Cars Detached;147;3759;3125;     ;        ;0;1;11/5/99;410000;0;0;                  ;;0;;0;0;     ;
817 S LAFLIN ST, CHICAGO, IL;-87,6638396999999;41,8711198999999;60607;A-HD;17173170050000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;34.125;43.500;435.000;7.812;31.872;39.684;7.812;34.044;41.856;2013;77;592;CITY;77002;132;817;S;LAFLIN ;ST;1;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Full and Unfinished;None;2;0;2 Cars Detached;148;2560;3125;     ;        ;0;2;1/1/05;400000;1;97684;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;44853;44853;10/19/15;
917 S LAFLIN ST, CHICAGO, IL;-87,6638339999999;41,8700229;60607;A-HD;17173170200000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;40.949;50.324;503.240;7.812;37.699;45.511;7.812;37.699;45.511;2013;77;592;CITY;77002;132;917;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;2;0;2 Cars Detached;148;5231;3125;     ;        ;0;1;6/23/92;118000;0;0;                  ;;0;;0;0;     ;
835 S LAFLIN ST, CHICAGO, IL;-87,6638257;41,8706340999999;60607;A-HD;17173170110000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;37.390;46.765;467.650;7.812;31.323;39.135;7.812;31.323;39.135;2013;77;592;CITY;77002;132;835;S;LAFLIN ;ST;1ST ;CHICAGO;Three Story       ;Multi Family  ;4;0;Masonry    ;4;0;Full and Apartment;None;2;0; ;127;3180;3125;     ;        ;0;0;     ;0;1;98027;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;49121;46765;10/19/15;
905 S LAFLIN ST, CHICAGO, IL;-87,6638095999999;41,8703632;60607;A-HD;17173170150000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;31.859;41.234;412.340;7.812;30.499;38.311;7.812;30.499;38.311;2013;77;592;CITY;77002;132;905;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;2;0; ;149;2181;3125;     ;        ;0;0;     ;0;1;98005;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;41234;41234;10/19/15;
901 S LAFLIN ST, CHICAGO, IL;-87,6638089;41,8704332;60607;A-HD;17173170140000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;31.859;41.234;412.340;7.812;30.499;38.311;7.812;30.499;38.311;2013;77;592;CITY;77002;132;901;S;LAFLIN ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;2;0; ;149;2181;3125;     ;        ;0;0;     ;0;1;98005;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;41234;41234;10/19/15;
907 S LAFLIN ST, CHICAGO, IL;-87,6638047;41,8702893;60607;A-HD;17173170160000;211;Two to Six Apartments, Over 62 Years                                                         ;9.375;30.376;39.751;397.510;7.812;28.653;36.465;7.812;28.653;36.465;2013;77;592;CITY;77002;132;907;S;LAFLIN ;ST;2;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Slab and Unfinished;None;2;0; ;149;2181;3125;     ;        ;1;2;11/1/98;189289;1;85961;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;41234;39751;12/4/15;
1452 W LEXINGTON ST, CHICAGO, IL;-87,6638047;41,8727196999999;60607;A-HD;17173030270000;211;Two to Six Apartments, Over 62 Years                                                         ;8.325;49.548;57.873;578.730;6.937;40.613;47.550;6.937;40.613;47.550;2013;77;592;CITY;77002;132;1452;W;LEXINGTON ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;0;Masonry    ;6;0;Full and Unfinished;None;2;0; ;112;5628;2775;     ;        ;0;2;5/1/97;320000;0;0;                  ;;0;;0;0;     ;
