Full Address;Longitude;Latitude;Zip;REC_TYPE;PIN;OVACLS;CLASS_DESCRIPTION;CURRENT_LAND;CURRENT_BUILDING;CURRENT_TOTAL;ESTIMATED_MARKET_VALUE;PRIOR_LAND;PRIOR_BUILDING;PRIOR_TOTAL;PPRIOR_LAND;PPRIOR_BUILDING;PPRIOR_TOTAL;PPRIOR_YEAR;TOWN;VOLUME;LOC;TAX_CODE;NEIGHBORHOOD;HOUSENO;DIR;STREET;SUFFIX;APT;CITY;RES_TYPE;BLDG_USE;APT_DESC;COMM_UNITS;EXT_DESC;FULL_BATH;HALF_BATH;BSMT_DESC;ATTIC_DESC;AC;FIREPLACE;GAR_DESC;AGE;BUILDING_SQ_FT;LAND_SQ_FT;BLDG_SF;UNITS_TOT;MULTI_SALE;DEED_TYPE;SALE_DATE;SALE_AMOUNT;APPCNT;APPEAL_A;APPEAL_A_STATUS;APPEAL_A_RESULT;APPEAL_A_REASON;APPEAL_A_PIN_RESULT;APPEAL_A_PROPAV;APPEAL_A_CURRAV;APPEAL_A_RESLTDATE;
1707 W 19TH ST, CHICAGO, IL;-87,669027;41,855733;60608;A-HD;17194160210000;211;Two to Six Apartments, Over 62 Years                                                         ;6.150;30.466;36.616;366.160;5.400;19.163;24.563;5.400;19.163;24.563;2013;77;596;CITY;77001;141;1707;W;19TH ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Frame     ;2;0;Full and Unfinished; ;2;0; ;121;1121;3000;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1702 W 19TH ST, CHICAGO, IL;-87,6688579;41,8560714999999;60608;A-HD;17194120460000;211;Two to Six Apartments, Over 62 Years                                                         ;6.150;36.643;42.793;427.930;5.400;27.085;32.485;5.400;27.085;32.485;2013;77;596;CITY;77001;141;1702;W;19TH ;ST; ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Slab and Unfinished;None;2;0; ;112;3528;3000;     ;        ;0;0;     ;0;1;108271;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;49625;42793;10/19/15;
1707 W 21ST ST, CHICAGO, IL;-87,668813;41,8537182;60608;A-HD;17194240210000;211;Two to Six Apartments, Over 62 Years                                                         ;12.812;34.408;47.220;472.200;11.250;31.267;42.517;11.250;31.267;42.517;2013;77;596;CITY;77001;141;1707;W;21ST ;ST;2;CHICAGO;Two Story        ;Multi Family  ;0;0;Frame     ;3;0;Slab and Unfinished;None;2;0; ;118;3726;6250;     ;        ;0;1;7/28/90;123000;0;0;                  ;;0;;0;0;     ;
1701 W 18TH PL, CHICAGO, IL;-87,6687816;41,8566434;60608;A-HD;17194120230000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;6.150;45.092;51.242;512.420;5.400;30.319;35.719;5.400;30.319;35.719;2013;77;596;CITY;77001;141;1701;W;18TH ;PL; ;CHICAGO;Two Story        ;Multi Family  ;4;1;Masonry    ;4;0;Full and Unfinished;None;2;0; ;123;3840;3000;     ;        ;0;2;2/1/97;132000;0;0;                  ;;0;;0;0;     ;
1700 W 19TH ST, CHICAGO, IL;-87,6687679;41,8561936999999;60608;A-HD;17194120470000;318;Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ;2.475;53.458;55.933;559.330;2.475;53.458;55.933;2.475;53.458;55.933;2013;77;596;CITY;77001;141;1700;W;19TH ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;131;0;3000;0;0;0;2;11/1/15;952500;0;0;                  ;;0;;0;0;     ;
1701 W 19TH ST, CHICAGO, IL;-87,6687515999999;41,8556189999999;60608;A-HD;17194160240000;211;Two to Six Apartments, Over 62 Years                                                         ;6.150;39.933;46.083;460.830;5.400;26.589;31.989;5.400;26.589;31.989;2013;77;596;CITY;77001;141;1701;W;19TH ;ST; ;CHICAGO;Two Story        ;Multi Family  ;3;1;Frame     ;3;0;Full and Unfinished;None;2;0; ;121;2112;3000;     ;        ;0;1;2/1/00;175000;1;96022;Appeal Review Complete       ;Assessed Value Not Adjusted;16;Assessed Value Not Adjusted;46083;46083;10/19/15;
1700 W CERMAK RD, CHICAGO, IL;-87,6686731;41,8525015;60608;A-HD;17194280470000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;9.608;25.485;35.093;350.930;8.436;17.448;25.884;8.436;17.448;25.884;2013;77;596;CITY;77001;141;1700;W;CERMAK ;RD; ;CHICAGO;Three Story       ;Multi Family  ;5;1;Masonry    ;5;0;Partial and Unfinished; ;1;0; ;119;7489;4687;     ;        ;0;1;12/1/92;100000;0;0;                  ;;0;;0;0;     ;
1659 W 18TH ST, CHICAGO, IL;-87,6684895;41,8575205;60608;A-HD;17194110010000;391;Apartment buildings over three stories                                                        ;2.656;104.670;107.326;1.073.260;2.656;96.498;99.154;2.656;39.173;41.829;2013;77;596;CITY;77001;141;1659;W;18TH ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;4;0;3125;27150;1825;0;0;     ;0;1;103813;Appeal Review Complete       ;Assessed Value Not Adjusted;22;Assessed Value Not Adjusted;121050;107326;12/4/15;
1657 W 18TH ST, CHICAGO, IL;-87,6683749;41,8575197999999;60608;A-HD;17194110020000;391;Apartment buildings over three stories                                                        ;2.656;104.687;107.343;1.073.430;2.656;96.509;99.165;2.656;39.173;41.829;2013;77;596;CITY;77001;141;1657;W;18TH ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;4;0;3125;     ;        ;0;1;3/1/01;159547;1;103813;Appeal Review Complete       ;Assessed Value Not Adjusted;22;Assessed Value Not Adjusted;121070;107343;12/4/15;
1659 W 21ST ST, CHICAGO, IL;-87,6683747999999;41,8538720999999;60608;A-HD;17194250010000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;6.406;44.448;50.854;508.540;5.625;36.468;42.093;5.625;36.468;42.093;2013;77;596;CITY;77001;141;1659;W;21ST ;ST;3R ;CHICAGO;Three Story       ;Multi Family  ;5;1;Masonry    ;5;2;Full and Unfinished;None;2;0; ;137;4745;3125;     ;        ;0;1;11/1/01;167000;0;0;                  ;;0;;0;0;     ;
1649 W 19TH ST, CHICAGO, IL;-87,6680683;41,855764;60608;A-HD;17194170050000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;42.920;49.326;493.260;5.625;29.737;35.362;5.625;29.737;35.362;2013;77;596;CITY;77001;141;1649;W;19TH ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Full and Unfinished;None;2;0; ;127;2580;3125;     ;        ;0;1;10/1/92;108000;0;0;                  ;;0;;0;0;     ;
1648 W CULLERTON ST, CHICAGO, IL;-87,6680489;41,8552535;60608;A-HD;17194170240000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;38.464;44.870;448.700;5.625;35.849;41.474;5.625;35.849;41.474;2013;77;596;CITY;77001;141;1648;W;CULLERTON ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Full and Unfinished;None;2;0; ;117;4356;3125;     ;        ;0;1;3/1/99;76083;0;0;                  ;;0;;0;0;     ;
1647 W 19TH ST, CHICAGO, IL;-87,6679641;41,8557646;60608;A-HD;17194170060000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;45.074;51.480;514.800;5.625;31.148;36.773;5.625;31.148;36.773;2013;77;596;CITY;77001;141;1647;W;19TH ;ST; ;CHICAGO;Three Story       ;Multi Family  ;4;0;Masonry    ;4;0;Full and Unfinished;None;2;0; ;127;2580;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1645 W 17TH ST, CHICAGO, IL;-87,6679615;41,8584948;60608;A-HD;17194070060000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;30.094;36.500;365.000;5.625;30.932;36.557;5.625;30.932;36.557;2013;77;596;CITY;77001;141;1645;W;17TH ;ST; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Frame/Masonry ;3;0;Full and Unfinished; ;2;0; ;117;2268;3125;     ;        ;0;1;12/1/01;220000;1;106380;Appeal Review Complete       ;Assessed Value Not Adjusted;49;Assessed Value Not Adjusted;47276;47276;10/19/15;
1644 W 21ST ST, CHICAGO, IL;-87,6678610999999;41,8543068999999;60608;A-HD;17194210250000;211;Two to Six Apartments, Over 62 Years                                                         ;6.150;32.428;38.578;385.780;5.400;33.665;39.065;5.400;33.665;39.065;2013;77;596;CITY;77001;141;1644;W;21ST ;ST; ;CHICAGO;Three Story       ;Multi Family  ;5;1;Masonry    ;5;5;Full and Apartment;None;1;0; ;129;8214;3000;     ;        ;0;1;12/1/08;410000;1;86521;Appeal Review Complete       ;Assessed Value Adjusted;1;Assessed Value Adjusted;40013;38578;10/19/15;
1640 W 18TH ST, CHICAGO, IL;-87,6678473999999;41,8579982999999;60608;A-HD;17194070230000;212;Mixed commercial/residential building, 6 units or less, sq ft less than 20,000                                    ;6.406;77.807;84.213;842.130;5.625;32.127;37.752;5.625;32.127;37.752;2013;77;596;CITY;77001;141;1640;W;18TH ;ST; ;CHICAGO;Three Story       ;Multi Family  ;6;1;Masonry    ;6;2;Full and Unfinished;None;1;0;2 Cars Attached;124;8482;3125;     ;        ;0;1;1/1/15;842000;0;0;                  ;;0;;0;0;     ;
1639 W 18TH ST, CHICAGO, IL;-87,6677401999999;41,8575153999999;60608;A-HD;17194110090000;318;Mixed use commercial/residential with apts. above seven units or more or building sq. ft. over 20,000                         ;2.656;50.249;52.905;529.050;2.656;50.249;52.905;2.656;50.249;52.905;2013;77;596;CITY;77001;141;1639;W;18TH ;ST; ;CHICAGO;             ;;        ; ;        ;0;0; ; ;0;0; ;127;0;3125;0;0;0;1;12/1/99;278000;0;0;                  ;;0;;0;0;     ;
1638 W 18TH PL, CHICAGO, IL;-87,6677336999999;41,8570081;60608;A-HD;17194110270000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;36.293;42.699;426.990;5.625;36.227;41.852;5.625;36.227;41.852;2013;77;596;CITY;77001;141;1638;W;18TH ;PL; ;CHICAGO;Three Story       ;Multi Family  ;3;0;Masonry    ;3;0;Full and Unfinished; ;2;0; ;129;2244;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
1639 W 19TH ST, CHICAGO, IL;-87,6676934;41,8557548;60608;A-HD;17194170090000;211;Two to Six Apartments, Over 62 Years                                                         ;6.406;36.666;43.072;430.720;5.625;29.086;34.711;5.625;29.086;34.711;2013;77;596;CITY;77001;141;1639;W;19TH ;ST;2ND ;CHICAGO;Two Story        ;Multi Family  ;2;0;Masonry    ;2;0;Slab and Unfinished;Full and Living Area;2;0; ;127;3150;3125;     ;        ;0;0;     ;0;0;0;                  ;;0;;0;0;     ;
